Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abdallah Hassan P.L.Q./Q.L.P.;Aubin Claire C.Q.;Boucher Julie P.Q.;Drainville Amélie Q.S.;Primeau Benoit P.C.Q-E.E.D.;Proulx Caroline C.A.Q.-E.F.L.;B.V.;B.R.
566;Berthier;2022-10-03;G;Saint-Damien, p;1;;150;394;8;1;31;25;22;75;162;0
566;Berthier;2022-10-03;G;Sainte-Émélie-de-l'Énergie, m;1;;151;375;4;1;33;26;27;99;190;4
566;Berthier;2022-10-03;G;Sainte-Émélie-de-l'Énergie, m;1;;152;382;6;0;50;42;31;81;210;5
566;Berthier;2022-10-03;G;Sainte-Émélie-de-l'Énergie, m;1;;153;388;8;1;46;37;34;96;222;8
566;Berthier;2022-10-03;G;Sainte-Émélie-de-l'Énergie, m;1;;154;377;5;1;39;20;34;128;227;3
566;Berthier;2022-10-03;G;Saint-Zénon, m;1;;155;373;6;1;21;17;19;106;170;1
566;Berthier;2022-10-03;G;Saint-Zénon, m;1;;156;375;5;1;34;14;18;119;191;4
566;Berthier;2022-10-03;G;Saint-Zénon, m;1;;157;374;5;2;36;17;12;98;170;1
566;Berthier;2022-10-03;G;Saint-Michel-des-Saints, m;1;;158;360;2;0;33;8;25;70;138;6
566;Berthier;2022-10-03;G;Saint-Michel-des-Saints, m;1;;159;353;1;2;27;11;27;80;148;2
566;Berthier;2022-10-03;G;Saint-Michel-des-Saints, m;1;;160;348;5;0;22;6;10;57;100;1
566;Berthier;2022-10-03;G;Saint-Michel-des-Saints, m;1;;161;350;4;0;23;9;12;81;129;1
566;Berthier;2022-10-03;G;Saint-Michel-des-Saints, m;1;;162;344;1;0;23;9;14;78;125;1
566;Berthier;2022-10-03;G;Saint-Michel-des-Saints, m;1;;163;347;0;1;25;6;18;66;116;3
566;Berthier;2022-10-03;G;Saint-Guillaume-Nord, no;1;;164;73;0;1;13;0;4;21;39;0
566;Berthier;2022-10-03;G;Saint-Guillaume-Nord, no;1;Regr. BVO-109;165;17;0;0;0;0;0;0;0;0
566;Berthier;2022-10-03;G;Manawan, r;1;;166;1346;8;1;2;123;3;10;147;0
566;Berthier;2022-10-03;G;Baie-de-la-Bouteille, no;1;Regr. BVO-164;167;10;0;0;0;0;0;0;0;0
566;Berthier;2022-10-03;G;Lac-Matawin, no;1;Regr. BVO-164;168;13;0;0;0;0;0;0;0;0
566;Berthier;2022-10-03;G;Lavaltrie, v;2;Regr. BVO-15;500;162;0;0;0;0;0;0;0;0
566;Berthier;2022-10-03;G;Lavaltrie, v;3;Regr. BVO-22;501;43;0;0;0;0;0;0;0;0
566;Berthier;2022-10-03;G;Lanoraie, m;2;Regr. BVO-38;502;20;0;0;0;0;0;0;0;0
566;Berthier;2022-10-03;G;Berthierville, v;1;Regr. BVO-49;503;118;0;0;0;0;0;0;0;0
566;Berthier;2022-10-03;G;Berthierville, v;1;Regr. BVO-50;504;44;0;0;0;0;0;0;0;0
566;Berthier;2022-10-03;G;Berthierville, v;1;Regr. BVO-55;505;61;0;0;0;0;0;0;0;0
566;Berthier;2022-10-03;G;Saint-Félix-de-Valois, m;1;Regr. BVO-86;506;109;0;0;0;0;0;0;0;0
