Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bigilimana Ange Claude P.C.Q-E.E.D.;Dufour Virginie P.L.Q./Q.L.P.;Jitaru Bianca P.V.Q./G.P.Q.;Lachance Michel P.Q.;Lajoie Guillaume Q.S.;Séide Julie C.A.Q.-E.F.L.;B.V.;B.R.
482;Mille-Îles;2022-10-03;G;Laval, v;105;;77;395;16;19;4;31;27;58;155;2
482;Mille-Îles;2022-10-03;G;Laval, v;106;;78;397;18;58;3;24;27;23;153;5
482;Mille-Îles;2022-10-03;G;Laval, v;106;;79;397;11;60;3;27;21;32;154;3
482;Mille-Îles;2022-10-03;G;Laval, v;106;;80;389;11;78;2;12;20;34;157;3
482;Mille-Îles;2022-10-03;G;Laval, v;106;;81;382;25;30;0;14;28;47;144;3
482;Mille-Îles;2022-10-03;G;Laval, v;106;;82;377;16;50;2;16;23;44;151;4
482;Mille-Îles;2022-10-03;G;Laval, v;106;;83;385;14;58;3;7;29;25;136;2
482;Mille-Îles;2022-10-03;G;Laval, v;106;;84;389;19;38;2;16;32;43;150;0
482;Mille-Îles;2022-10-03;G;Laval, v;106;;85;381;16;57;3;23;35;44;178;5
482;Mille-Îles;2022-10-03;G;Laval, v;106;;86;394;29;63;5;22;34;49;202;2
482;Mille-Îles;2022-10-03;G;Laval, v;107;;87;342;19;13;4;19;9;52;116;0
482;Mille-Îles;2022-10-03;G;Laval, v;107;;88;362;15;35;3;28;25;46;152;2
482;Mille-Îles;2022-10-03;G;Laval, v;107;;89;379;12;35;1;28;17;48;141;4
482;Mille-Îles;2022-10-03;G;Laval, v;107;;90;387;15;32;4;29;35;48;163;3
482;Mille-Îles;2022-10-03;G;Laval, v;107;;91;373;14;60;3;30;25;51;183;2
482;Mille-Îles;2022-10-03;G;Laval, v;107;;92;359;16;32;4;21;31;44;148;4
482;Mille-Îles;2022-10-03;G;Laval, v;107;;93;369;11;51;1;16;25;49;153;7
