Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allard Monique P.Q.;Bélanger Gilles C.A.Q.-E.F.L.;Gandey Mark P.C.Q./C.P.Q;Hamm Vicki-May P.L.Q./Q.L.P.;Lacroix Joel D.D.;Lamontagne Lacasse Martin P.C.Q-E.E.D.;Sassi Kenza Q.S.;B.V.;B.R.
120;Orford;2022-10-03;G;Magog, v;5;;79;404;24;72;2;19;1;20;31;169;2
120;Orford;2022-10-03;G;Magog, v;5;;80;403;24;69;2;12;1;14;7;129;1
120;Orford;2022-10-03;G;Magog, v;5;;81A;212;6;17;0;8;0;14;16;61;0
120;Orford;2022-10-03;G;Magog, v;5;;81B;214;10;31;1;7;0;7;15;71;2
120;Orford;2022-10-03;G;Magog, v;5;;82;397;33;80;1;15;1;17;22;169;2
120;Orford;2022-10-03;G;Magog, v;5;;83;422;18;97;0;13;1;15;44;188;1
120;Orford;2022-10-03;G;Magog, v;5;;84;417;34;86;1;16;0;17;39;193;2
120;Orford;2022-10-03;G;Magog, v;6;;85;366;22;61;1;8;2;6;12;112;1
120;Orford;2022-10-03;G;Magog, v;6;;86;371;22;62;2;12;0;7;20;125;1
120;Orford;2022-10-03;G;Magog, v;6;;87;361;23;54;1;27;2;21;28;156;2
120;Orford;2022-10-03;G;Magog, v;6;;88;368;21;52;1;18;1;17;27;137;2
120;Orford;2022-10-03;G;Magog, v;6;;89;360;20;61;1;19;0;16;32;149;2
120;Orford;2022-10-03;G;Magog, v;6;;90;357;21;78;0;16;0;12;27;154;1
120;Orford;2022-10-03;G;Magog, v;6;;91;363;17;70;0;17;0;11;18;133;1
120;Orford;2022-10-03;G;Magog, v;7;;92;402;29;76;0;14;0;16;49;184;1
120;Orford;2022-10-03;G;Magog, v;7;;93;407;23;89;0;30;0;18;35;195;2
120;Orford;2022-10-03;G;Magog, v;7;;94;410;22;81;1;16;2;13;37;172;1
120;Orford;2022-10-03;G;Magog, v;7;;95;422;20;65;1;47;0;12;20;165;0
120;Orford;2022-10-03;G;Magog, v;7;;96;404;27;71;1;26;2;9;25;161;1
120;Orford;2022-10-03;G;Magog, v;7;;97;418;27;71;2;15;2;22;23;162;3
120;Orford;2022-10-03;G;Magog, v;7;;98;406;20;70;1;25;0;36;27;179;0
120;Orford;2022-10-03;G;Magog, v;7;;99;408;21;90;1;21;0;22;29;184;4
