Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourassa Kariane C.A.Q.-E.F.L.;Bureau Michel P.L.Q./Q.L.P.;Fortin Myriam Q.S.;Lacombe Odré P.C.Q-E.E.D.;Rodrigue Lucien P.Q.;Tremblay Stefany D.D.;B.V.;B.R.
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Ange-Gardien, m;1;;107;387;69;10;16;91;17;1;204;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Ange-Gardien, m;1;;108;380;77;10;21;50;32;0;190;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Ange-Gardien, m;1;;109;397;72;6;25;49;29;0;181;10
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Ange-Gardien, m;1;;110;389;73;10;13;58;25;0;179;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Ange-Gardien, m;1;;111;378;78;9;21;49;17;2;176;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Ange-Gardien, m;1;;112;384;74;13;32;36;24;2;181;5
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Ange-Gardien, m;1;;113;371;78;6;19;70;20;0;193;5
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;L'Ange-Gardien, m;1;;114;373;105;5;16;50;30;0;206;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;1;;115;356;57;9;23;21;15;0;125;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;1;;116;362;45;3;21;38;25;0;132;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;1;;117;369;63;7;21;44;19;1;155;6
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;1;;118;369;76;12;5;39;26;1;159;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;1;;119;367;51;17;21;23;30;0;142;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;120;370;59;5;16;39;30;1;150;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;121;377;58;3;22;42;31;1;157;6
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;122;358;68;4;28;22;31;1;154;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;123;362;76;12;24;36;29;0;177;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;124;362;79;10;13;55;33;1;191;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;125;366;87;7;16;41;22;0;173;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;126;411;65;11;21;63;23;0;183;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;127;369;60;9;18;62;12;0;161;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;128;390;82;23;19;68;10;0;202;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;129;376;83;11;15;51;17;0;177;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;130;367;71;11;12;35;20;1;150;5
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Boischatel, m;2;;131;409;82;11;27;58;22;1;201;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Pierre-de-l'Île-d'Orléans, m;1;;132;345;76;5;30;41;30;1;183;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Pierre-de-l'Île-d'Orléans, m;1;;133;358;73;10;13;49;43;2;190;5
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Pierre-de-l'Île-d'Orléans, m;1;;134;352;103;8;21;32;27;0;191;6
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Pierre-de-l'Île-d'Orléans, m;1;;135;335;92;9;12;53;24;2;192;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sainte-Famille-de-l'Île-d'Orléans, m;1;;136;351;88;19;21;44;29;0;201;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sainte-Famille-de-l'Île-d'Orléans, m;1;;137;340;92;17;17;38;44;2;210;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-François-de-l'Île-d'Orléans, m;1;;138;207;61;7;8;32;31;0;139;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-François-de-l'Île-d'Orléans, m;1;;139;215;46;8;15;33;32;0;134;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Jean-de-l'Île-d'Orléans, m;1;;140;407;90;14;24;51;52;0;231;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Jean-de-l'Île-d'Orléans, m;1;;141;396;69;14;16;37;49;0;185;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Laurent-de-l'Île-d'Orléans, m;1;;142;321;75;5;29;22;30;2;163;5
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Laurent-de-l'Île-d'Orléans, m;1;;143;339;61;11;17;18;23;0;130;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Laurent-de-l'Île-d'Orléans, m;1;;144;332;56;12;34;28;23;1;154;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Laurent-de-l'Île-d'Orléans, m;1;;145;313;81;5;16;42;27;2;173;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Sainte-Pétronille, vl;1;;146;283;46;4;33;22;21;0;126;0
