Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy E.A.;Fillion Marie-Soleil Ind;Grandmont Etienne Q.S.;Hélie Marie-Josée P.C.Q-E.E.D.;Joubert Jean-François C.Q.;Karim Andrew P.V.Q./G.P.Q.;Robin Jeanne P.Q.;St-Hilaire Pascale C.A.Q.-E.F.L.;Touré Ahmed Lamine P.L.Q./Q.L.P.;B.V.;B.R.
730;Taschereau;2022-10-03;G;Québec, v;57;;110;353;1;2;28;21;0;1;22;50;11;136;1
730;Taschereau;2022-10-03;G;Québec, v;57;;111A;262;0;0;37;17;0;3;22;14;4;97;1
730;Taschereau;2022-10-03;G;Québec, v;57;;111B;224;0;0;25;4;0;1;21;16;3;70;0
730;Taschereau;2022-10-03;G;Québec, v;57;;112;379;0;2;57;13;1;3;24;18;4;122;1
730;Taschereau;2022-10-03;G;Québec, v;57;;113;358;0;0;64;9;0;1;18;17;0;109;11
730;Taschereau;2022-10-03;G;Québec, v;57;;114;340;0;0;59;11;0;1;19;11;8;109;3
730;Taschereau;2022-10-03;G;Québec, v;57;;115;355;0;0;73;11;0;0;22;10;4;120;2
730;Taschereau;2022-10-03;G;Québec, v;57;;116;362;0;0;82;17;0;2;30;21;8;160;3
730;Taschereau;2022-10-03;G;Québec, v;57;;117;349;0;0;37;13;1;0;20;28;2;101;2
730;Taschereau;2022-10-03;G;Québec, v;57;;118;351;0;1;77;20;0;2;25;28;6;159;1
730;Taschereau;2022-10-03;G;Québec, v;57;;119;346;0;1;49;9;0;3;27;26;5;120;0
730;Taschereau;2022-10-03;G;Québec, v;57;;120;354;0;0;79;5;0;1;32;37;6;160;4
730;Taschereau;2022-10-03;G;Québec, v;57;;121A;207;0;0;34;11;0;0;19;11;10;85;0
730;Taschereau;2022-10-03;G;Québec, v;57;;121B;239;0;1;44;13;0;1;24;14;3;100;1
730;Taschereau;2022-10-03;G;Québec, v;58;;122;349;1;0;60;13;0;1;37;19;4;135;0
730;Taschereau;2022-10-03;G;Québec, v;58;;123;348;0;1;55;23;0;0;34;43;12;168;1
730;Taschereau;2022-10-03;G;Québec, v;58;;124;337;0;0;30;24;0;1;44;50;18;167;0
730;Taschereau;2022-10-03;G;Québec, v;58;;125;355;0;1;43;35;0;5;55;36;8;183;2
