Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cantin David P51;Corbeil Priscilla P.Q.;Domingue Jean P.C.Q-E.E.D.;Duhaime Ève Q.S.;Essaidi Odevie P.V.Q./G.P.Q.;Julien Jonatan C.A.Q.-E.F.L.;Pelletier Daniel D.D.;Sissoko Mahamadou P.L.Q./Q.L.P.;B.V.;B.R.
748;Charlesbourg;2022-10-03;G;Québec, v;91;;101;332;0;11;35;25;4;65;0;13;153;0
748;Charlesbourg;2022-10-03;G;Québec, v;91;;102;336;0;14;26;25;2;71;0;10;148;4
748;Charlesbourg;2022-10-03;G;Québec, v;91;;103;336;1;28;37;6;2;65;0;14;153;4
748;Charlesbourg;2022-10-03;G;Québec, v;91;;104;342;1;33;25;20;2;44;0;13;138;2
748;Charlesbourg;2022-10-03;G;Québec, v;91;;105;360;0;20;46;21;3;35;0;5;130;3
748;Charlesbourg;2022-10-03;G;Québec, v;92;;106;394;0;19;55;22;1;68;0;6;171;4
748;Charlesbourg;2022-10-03;G;Québec, v;92;;107;384;1;23;41;28;1;59;0;8;161;3
748;Charlesbourg;2022-10-03;G;Québec, v;92;;108;416;0;22;39;22;2;50;0;11;146;0
748;Charlesbourg;2022-10-03;G;Québec, v;92;;109;394;0;22;36;31;6;45;0;16;156;5
748;Charlesbourg;2022-10-03;G;Québec, v;92;;110;391;0;14;33;25;1;51;0;9;133;2
748;Charlesbourg;2022-10-03;G;Québec, v;92;;111;380;1;14;45;32;3;25;1;16;137;3
748;Charlesbourg;2022-10-03;G;Québec, v;92;;112;389;0;28;32;27;1;66;0;12;166;1
748;Charlesbourg;2022-10-03;G;Québec, v;92;;113;374;1;16;39;18;2;63;0;8;147;3
748;Charlesbourg;2022-10-03;G;Québec, v;93;;114;367;2;27;33;21;0;63;0;9;155;2
748;Charlesbourg;2022-10-03;G;Québec, v;93;;115;362;0;18;25;15;0;59;0;10;127;2
748;Charlesbourg;2022-10-03;G;Québec, v;93;;116;358;0;23;37;25;1;62;1;6;155;5
748;Charlesbourg;2022-10-03;G;Québec, v;93;;117;364;0;18;33;43;2;42;1;4;143;4
748;Charlesbourg;2022-10-03;G;Québec, v;93;;118;365;1;24;36;18;3;68;0;6;156;0
748;Charlesbourg;2022-10-03;G;Québec, v;93;;119;375;1;28;35;34;1;63;1;14;177;0
748;Charlesbourg;2022-10-03;G;Québec, v;93;;120;355;0;18;35;23;1;77;0;14;168;0
748;Charlesbourg;2022-10-03;G;Québec, v;93;;121;352;1;19;48;22;0;53;0;13;156;3
748;Charlesbourg;2022-10-03;G;Québec, v;93;;122;378;0;14;45;27;2;54;1;18;161;4
748;Charlesbourg;2022-10-03;G;Québec, v;94;;123;353;1;26;39;36;5;63;0;10;180;5
748;Charlesbourg;2022-10-03;G;Québec, v;94;;124;352;2;25;42;26;0;65;0;3;163;4
748;Charlesbourg;2022-10-03;G;Québec, v;94;;125;350;0;30;36;23;2;87;1;11;190;4
748;Charlesbourg;2022-10-03;G;Québec, v;94;;126;356;0;14;57;37;1;53;0;7;169;3
748;Charlesbourg;2022-10-03;G;Québec, v;95;;127;416;0;18;48;36;3;78;0;20;203;1
748;Charlesbourg;2022-10-03;G;Québec, v;95;;128;405;0;32;43;32;2;56;0;5;170;3
748;Charlesbourg;2022-10-03;G;Québec, v;95;;129;403;1;24;38;27;0;61;0;15;166;3
748;Charlesbourg;2022-10-03;G;Québec, v;95;;130;405;0;28;31;38;2;67;0;13;179;1
748;Charlesbourg;2022-10-03;G;Québec, v;95;;131;405;0;18;49;35;7;73;0;10;192;3
748;Charlesbourg;2022-10-03;G;Québec, v;95;;132;392;0;26;42;14;1;77;0;11;171;3
748;Charlesbourg;2022-10-03;G;Québec, v;95;;133;405;0;13;32;10;2;66;0;2;125;2
748;Charlesbourg;2022-10-03;G;Québec, v;96;;134;389;1;20;18;21;1;63;0;2;126;1
748;Charlesbourg;2022-10-03;G;Québec, v;96;;135;367;2;17;33;20;2;61;0;13;148;3
748;Charlesbourg;2022-10-03;G;Québec, v;96;;136;376;2;17;18;8;0;69;0;10;124;2
748;Charlesbourg;2022-10-03;G;Québec, v;96;;137;389;0;11;24;14;2;65;0;10;126;0
748;Charlesbourg;2022-10-03;G;Québec, v;96;;138;371;2;18;44;33;0;56;0;12;165;3
748;Charlesbourg;2022-10-03;G;Québec, v;97;;139;369;4;15;46;19;3;63;0;4;154;0
748;Charlesbourg;2022-10-03;G;Québec, v;97;;140;348;1;15;32;15;3;64;0;8;138;1
748;Charlesbourg;2022-10-03;G;Québec, v;97;;141;360;0;16;63;25;0;45;0;10;159;3
748;Charlesbourg;2022-10-03;G;Québec, v;97;;142;353;1;16;18;24;3;70;0;8;140;7
748;Charlesbourg;2022-10-03;G;Québec, v;97;;143;378;3;23;43;22;4;66;0;12;173;3
748;Charlesbourg;2022-10-03;G;Québec, v;97;;144;341;0;24;43;16;0;67;0;11;161;3
748;Charlesbourg;2022-10-03;G;Québec, v;97;;145;377;0;31;41;24;0;69;0;11;176;2
748;Charlesbourg;2022-10-03;G;Québec, v;97;;146;382;1;24;48;13;3;97;0;15;201;2
748;Charlesbourg;2022-10-03;G;Québec, v;97;;147;372;0;27;45;16;0;94;1;8;191;4
748;Charlesbourg;2022-10-03;G;Québec, v;79;Regr. BVO-10;500;132;0;0;0;0;0;0;0;0;0;0
748;Charlesbourg;2022-10-03;G;Québec, v;79;Regr. BVO-11;501;132;0;0;0;0;0;0;0;0;0;0
748;Charlesbourg;2022-10-03;G;Québec, v;79;Regr. BVO-12;502;105;0;0;0;0;0;0;0;0;0;0
748;Charlesbourg;2022-10-03;G;Québec, v;80;Regr. BVO-18;503;39;0;0;0;0;0;0;0;0;0;0
748;Charlesbourg;2022-10-03;G;Québec, v;82;Regr. BVO-34;504;123;0;0;0;0;0;0;0;0;0;0
748;Charlesbourg;2022-10-03;G;Québec, v;82;Regr. BVO-39;505;52;0;0;0;0;0;0;0;0;0;0
748;Charlesbourg;2022-10-03;G;Québec, v;83;Regr. BVO-40;506;64;0;0;0;0;0;0;0;0;0;0
748;Charlesbourg;2022-10-03;G;Québec, v;83;Regr. BVO-13;507;193;0;0;0;0;0;0;0;0;0;0
748;Charlesbourg;2022-10-03;G;Québec, v;83;Regr. BVO-43A;508;224;0;0;0;0;0;0;0;0;0;0
748;Charlesbourg;2022-10-03;G;Québec, v;83;Regr. BVO-45;509;23;0;0;0;0;0;0;0;0;0;0
748;Charlesbourg;2022-10-03;G;Québec, v;84;Regr. BVO-48;510;62;0;0;0;0;0;0;0;0;0;0
