Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Marc P.L.Q./Q.L.P.;Dauphinais Chantal P.C.Q-E.E.D.;Desforges Claudine P.Q.;Poirier Emilie Q.S.;Reid Claude C.A.Q.-E.F.L.;Savard Hélène P.V.Q./G.P.Q.;Taillefer Mathieu C.Q.;B.V.;B.R.
218;Beauharnois;2022-10-03;G;Saint-Étienne-de-Beauharnois, m;1;;119;282;10;16;26;26;66;1;0;145;9
218;Beauharnois;2022-10-03;G;Saint-Étienne-de-Beauharnois, m;1;;120;282;3;26;32;12;76;0;2;151;1
218;Beauharnois;2022-10-03;G;Saint-Étienne-de-Beauharnois, m;1;;121;281;11;23;26;24;81;1;0;166;1
218;Beauharnois;2022-10-03;G;Saint-Louis-de-Gonzague, p;1;;122;414;7;21;32;24;108;3;0;195;3
218;Beauharnois;2022-10-03;G;Saint-Louis-de-Gonzague, p;1;;123A;223;6;12;20;27;33;1;3;102;1
218;Beauharnois;2022-10-03;G;Saint-Louis-de-Gonzague, p;1;;123B;237;9;15;17;14;44;0;1;100;1
218;Beauharnois;2022-10-03;G;Saint-Louis-de-Gonzague, p;1;;124;405;8;24;44;36;84;0;1;197;2
218;Beauharnois;2022-10-03;G;Saint-Louis-de-Gonzague, p;1;;125;413;14;23;38;30;82;2;2;191;4
218;Beauharnois;2022-10-03;G;Saint-Stanislas-de-Kostka, m;1;;126;410;7;39;24;22;82;1;0;175;6
218;Beauharnois;2022-10-03;G;Saint-Stanislas-de-Kostka, m;1;;127;398;5;22;31;18;100;1;1;178;0
218;Beauharnois;2022-10-03;G;Saint-Stanislas-de-Kostka, m;1;;128;404;11;18;42;33;104;2;1;211;1
