Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Dany P.C.Q-E.E.D.;Charron Claude P.L.Q./Q.L.P.;Dion Olivier C.Q.;Généreux Mélissa Q.S.;Hébert Geneviève C.A.Q.-E.F.L.;McInerney Colleen P.C.Q./C.P.Q;Tanguay Sylvie P.Q.;B.V.;B.R.
110;Saint-François;2022-10-03;G;Sherbrooke, v;39;;133;367;17;3;1;67;60;0;10;158;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;39;;134;369;23;12;3;50;53;0;16;157;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;135;363;14;3;0;53;66;0;16;152;4
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;136;382;11;4;1;44;54;0;15;129;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;137;366;15;8;0;61;82;0;9;175;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;138;378;12;6;0;37;55;0;6;116;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;139;377;11;13;0;46;79;0;14;163;4
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;140;387;14;5;1;40;41;0;8;109;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;141;392;13;4;1;42;66;0;13;139;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;142;376;19;6;1;56;58;2;24;166;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;143;372;12;9;0;37;41;0;12;111;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;144;367;10;9;0;44;61;0;7;131;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;40;;145;364;7;6;2;63;55;2;19;154;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;41;;146;388;20;14;0;65;59;0;27;185;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;41;;147;387;19;14;1;66;76;0;24;200;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;41;;148;384;13;6;0;62;82;1;22;186;4
110;Saint-François;2022-10-03;G;Sherbrooke, v;41;;149;379;12;12;2;65;95;0;12;198;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;41;;150;386;7;11;1;66;97;4;24;210;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;41;;151;381;15;12;0;64;81;1;21;194;6
110;Saint-François;2022-10-03;G;Sherbrooke, v;41;;152;392;10;13;0;63;106;4;16;212;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;41;;153;388;14;9;1;63;81;0;15;183;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;41;;154;380;21;2;1;60;81;0;16;181;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;41;;155;380;23;3;0;46;93;0;18;183;1
110;Saint-François;2022-10-03;G;Coaticook, v;1;Regr. BVO-14;500;68;0;0;0;0;0;0;0;0;0
110;Saint-François;2022-10-03;G;Coaticook, v;1;Regr. BVO-17;501;55;0;0;0;0;0;0;0;0;0
110;Saint-François;2022-10-03;G;Coaticook, v;1;Regr. BVO-16;502;70;0;0;0;0;0;0;0;0;0
110;Saint-François;2022-10-03;G;Coaticook, v;1;Regr. BVO-15;503;47;0;0;0;0;0;0;0;0;0
110;Saint-François;2022-10-03;G;Compton, m;1;Regr. BVO-35;504;51;0;0;0;0;0;0;0;0;0
