Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Adda Yastene P.Q.;Boivin Roy Karine C.A.Q.-E.F.L.;Deneault Genevieve P.C.Q-E.E.D.;Gagnon Chantal P.L.Q./Q.L.P.;Gélinas Claude C.Q.;LeRougetel Katy Ind;Pageau Laurence Q.S.;B.V.;B.R.
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;369;;76;378;19;54;8;69;3;0;28;181;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;370;;77;355;12;37;15;47;0;0;31;142;6
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;370;;78;350;20;60;12;43;2;0;24;161;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;370;;79;368;20;72;7;38;2;0;34;173;4
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;370;;80;362;12;33;12;62;3;0;26;148;4
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;370;;81;373;16;45;10;73;1;0;29;174;7
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;370;;82;376;17;38;15;50;1;0;19;140;8
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;370;;83;373;12;39;19;55;1;0;29;155;6
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;370;;84;364;15;42;15;49;0;0;16;137;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;371;;85;385;27;45;14;43;1;2;31;163;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;371;;86;393;13;47;16;57;1;0;27;161;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;371;;87;387;10;38;12;52;0;0;23;135;4
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;371;;88;404;33;59;13;58;3;0;30;196;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;371;;89;386;11;49;13;56;2;0;23;154;4
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;371;;90;394;15;42;13;72;2;2;28;174;4
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;371;;91;395;12;59;15;68;0;0;30;184;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;371;;92;394;27;55;6;67;1;0;20;176;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;371;;93;394;16;42;20;66;1;0;41;186;14
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;371;;94;395;10;26;16;72;1;0;26;151;0
