Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Duranceau France-Élaine C.A.Q.-E.F.L.;Fortin Samuel C.Q.;Francoeur Julie Q.S.;Freire Guillaume P.Q.;Meloni Philippe P.C.Q-E.E.D.;Nadeau André P.L.Q./Q.L.P.;Ouellette Marie-Eve P.H.Q.;Steinberger Karine P.V.Q./G.P.Q.;B.V.;B.R.
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;4;;131;393;69;1;44;37;18;7;3;5;184;2
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;4;;132;399;69;0;29;40;18;11;1;9;177;3
588;Bertrand;2022-10-03;G;Sainte-Adèle, v;4;;133;397;45;1;38;49;19;15;2;5;174;0
588;Bertrand;2022-10-03;G;Sainte-Marguerite-du-Lac-Masson, v;1;;134;382;38;1;14;26;17;4;0;0;100;2
588;Bertrand;2022-10-03;G;Sainte-Marguerite-du-Lac-Masson, v;1;;135;381;60;0;27;24;24;6;1;3;145;4
588;Bertrand;2022-10-03;G;Sainte-Marguerite-du-Lac-Masson, v;1;;136;375;45;2;24;24;16;9;0;0;120;1
588;Bertrand;2022-10-03;G;Sainte-Marguerite-du-Lac-Masson, v;1;;137;370;56;2;25;24;27;6;4;2;146;1
588;Bertrand;2022-10-03;G;Sainte-Marguerite-du-Lac-Masson, v;1;;138;383;48;0;26;18;24;9;0;1;126;0
588;Bertrand;2022-10-03;G;Sainte-Marguerite-du-Lac-Masson, v;1;;139;386;49;0;22;20;20;4;2;4;121;1
588;Bertrand;2022-10-03;G;Sainte-Marguerite-du-Lac-Masson, v;1;;140;380;62;1;13;26;27;8;0;2;139;2
588;Bertrand;2022-10-03;G;Sainte-Marguerite-du-Lac-Masson, v;1;;141;383;53;2;20;26;8;7;0;3;119;2
