Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bustamante Marcella P.V.Q./G.P.Q.;Chassin Youri C.A.Q.-E.F.L.;Clermont Maxime P.C.Q-E.E.D.;Michon Sandrine P.Q.;Neveu Marc-Olivier Q.S.;Plante Martin P.L.Q./Q.L.P.;B.V.;B.R.
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;20;;136;387;3;59;12;33;39;4;150;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;21;;137;389;4;77;16;33;45;10;185;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;21;;138;389;3;61;18;24;38;2;146;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;21;;139;411;3;81;19;43;27;4;177;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;21;;140;396;2;60;27;40;28;6;163;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;21;;141;402;1;70;28;43;39;2;183;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;142;371;2;54;13;29;25;2;125;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;143;373;0;66;17;36;25;7;151;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;144;365;1;71;22;19;32;11;156;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;145;385;0;93;17;37;22;6;175;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;146;377;5;73;24;40;27;5;174;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;147;377;1;51;13;35;33;7;140;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;148;380;1;51;11;34;29;5;131;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;149A;189;1;11;0;2;4;2;20;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;149B;190;0;21;0;5;3;3;32;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;150A;184;0;14;0;6;0;1;21;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;150B;189;0;26;4;6;2;1;39;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;22;;151A;184;0;24;7;13;15;2;61;2
