Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dumas Philippe P.Q.;Jacques Marie-Josée P.L.Q./Q.L.P.;Lyonnais Mario P.C.Q-E.E.D.;Martel Donald C.A.Q.-E.F.L.;Thériault Watso Jacques Q.S.;B.V.;B.R.
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;2;;87B;266;33;4;9;35;20;101;2
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;2;;88;382;24;6;25;77;19;151;1
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;2;;89;407;37;6;29;77;21;170;2
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;2;;90;387;41;4;32;86;19;182;3
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;2;;91;377;36;16;28;51;18;149;2
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;2;;92;406;35;4;38;49;15;141;4
150;Nicolet-Bécancour;2022-10-03;G;Nicolet, v;2;;93;383;33;5;47;61;20;166;4
150;Nicolet-Bécancour;2022-10-03;G;Baie-du-Febvre, m;1;;94;387;45;12;45;102;19;223;4
150;Nicolet-Bécancour;2022-10-03;G;Baie-du-Febvre, m;1;;95;392;44;11;45;97;16;213;13
150;Nicolet-Bécancour;2022-10-03;G;Saint-Elphège, p;1;;96;186;18;11;21;68;11;129;4
150;Nicolet-Bécancour;2022-10-03;G;Pierreville, m;1;;97;334;25;5;35;63;9;137;4
150;Nicolet-Bécancour;2022-10-03;G;Pierreville, m;1;;98;358;35;4;14;66;20;139;5
150;Nicolet-Bécancour;2022-10-03;G;Pierreville, m;1;;99;346;12;6;17;47;20;102;4
