Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Côté Normand P.L.Q./Q.L.P.;Gauthier Christian P.C.Q-E.E.D.;Gilbert Christine Q.S.;Lecours Isabelle C.A.Q.-E.F.L.;Marchand Louise P.Q.;B.V.;B.R.
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Agapit, m;1;;111;378;13;80;7;81;18;199;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;1;;112A;215;3;44;4;26;9;86;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;1;;112B;232;1;43;7;24;4;79;0
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;1;;113;406;13;82;14;68;15;192;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;1;;114A;195;6;46;11;24;10;97;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;1;;114B;235;4;44;13;52;9;122;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;1;;115;406;6;70;15;68;19;178;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;116A;226;5;45;9;49;10;118;6
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;116B;205;9;38;5;34;1;87;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;117A;228;3;53;17;36;14;123;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;117B;273;10;56;19;48;6;139;4
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;118;399;15;87;15;68;18;203;6
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;119;387;10;58;16;76;8;168;5
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;120;372;17;72;16;74;11;190;5
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;121;335;13;66;18;34;13;144;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;122;384;13;67;24;54;9;167;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;123;367;15;46;11;72;14;158;0
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;124A;201;2;38;6;24;3;73;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;124B;229;6;51;11;33;3;104;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;125A;232;8;27;10;38;6;89;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;125B;237;9;44;14;27;8;102;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Apollinaire, m;2;;126;394;16;62;23;70;13;184;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Antoine-de-Tilly, m;1;;127;331;22;47;42;69;31;211;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Antoine-de-Tilly, m;1;;128;361;16;47;47;69;32;211;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Antoine-de-Tilly, m;1;;129;335;5;51;21;81;54;212;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Antoine-de-Tilly, m;1;;130;355;15;45;27;79;36;202;2
810;Lotbinière-Frontenac;2022-10-03;G;Sainte-Croix, m;1;;131;375;12;31;21;74;18;156;3
810;Lotbinière-Frontenac;2022-10-03;G;Sainte-Croix, m;1;;132;399;10;63;14;63;22;172;4
810;Lotbinière-Frontenac;2022-10-03;G;Sainte-Croix, m;1;;133;396;7;45;5;81;13;151;3
810;Lotbinière-Frontenac;2022-10-03;G;Sainte-Croix, m;1;;134;406;13;69;16;62;14;174;1
810;Lotbinière-Frontenac;2022-10-03;G;Sainte-Croix, m;1;;135;370;17;48;5;69;18;157;2
810;Lotbinière-Frontenac;2022-10-03;G;Lotbinière, m;1;;136;366;12;52;24;87;30;205;7
810;Lotbinière-Frontenac;2022-10-03;G;Lotbinière, m;1;;137;372;14;54;23;116;28;235;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Édouard-de-Lotbinière, p;1;;138;321;23;67;9;94;6;199;2
