Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Crispin Diana Mélissa P.L.Q./Q.L.P.;Laurin Pascal P.C.Q-E.E.D.;St-Louis François C.A.Q.-E.F.L.;Trudel Flavie Q.S.;Venne Véronique P.Q.;B.V.;B.R.
570;Joliette;2022-10-03;G;Joliette, v;3;;102;422;9;17;71;24;65;186;2
570;Joliette;2022-10-03;G;Joliette, v;4;;103;372;4;15;26;24;19;88;2
570;Joliette;2022-10-03;G;Joliette, v;4;;104;365;0;16;33;29;34;112;4
570;Joliette;2022-10-03;G;Joliette, v;4;;105;359;7;10;21;32;57;127;3
570;Joliette;2022-10-03;G;Joliette, v;4;;106;348;2;11;25;18;20;76;2
570;Joliette;2022-10-03;G;Joliette, v;4;;107;358;4;18;26;18;22;88;2
570;Joliette;2022-10-03;G;Joliette, v;4;;108;379;3;15;29;18;25;90;2
570;Joliette;2022-10-03;G;Joliette, v;5;;109;320;2;5;53;14;29;103;5
570;Joliette;2022-10-03;G;Joliette, v;5;;110;341;4;16;50;31;40;141;1
570;Joliette;2022-10-03;G;Joliette, v;5;;111;351;6;14;50;21;39;130;0
570;Joliette;2022-10-03;G;Joliette, v;5;;112;338;5;9;42;16;40;112;1
570;Joliette;2022-10-03;G;Joliette, v;5;;113;384;9;9;41;15;33;107;1
570;Joliette;2022-10-03;G;Joliette, v;5;;114;345;9;9;53;26;44;141;1
570;Joliette;2022-10-03;G;Joliette, v;6;;115;92;5;9;16;10;19;59;1
570;Joliette;2022-10-03;G;Joliette, v;6;;116;308;2;13;32;12;24;83;3
570;Joliette;2022-10-03;G;Joliette, v;6;;117;356;4;14;35;18;43;114;4
570;Joliette;2022-10-03;G;Joliette, v;6;;118;321;3;8;58;12;34;115;2
570;Joliette;2022-10-03;G;Joliette, v;6;;119;328;1;10;46;16;66;139;6
570;Joliette;2022-10-03;G;Saint-Thomas, m;1;;120;378;2;17;68;22;37;146;2
570;Joliette;2022-10-03;G;Saint-Thomas, m;1;;121;405;9;8;70;29;54;170;2
570;Joliette;2022-10-03;G;Saint-Thomas, m;1;;122;377;5;14;80;25;54;178;3
570;Joliette;2022-10-03;G;Saint-Thomas, m;1;;123;376;4;23;70;12;39;148;5
570;Joliette;2022-10-03;G;Saint-Thomas, m;1;;124;376;3;15;84;18;53;173;1
570;Joliette;2022-10-03;G;Saint-Thomas, m;1;;125;380;7;15;70;17;56;165;1
570;Joliette;2022-10-03;G;Saint-Thomas, m;1;;126;378;3;21;76;19;34;153;1
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;127;352;2;24;53;22;51;152;1
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;128;349;5;25;41;19;45;135;2
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;129;334;3;11;54;23;63;154;7
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;130;343;7;14;84;27;53;185;0
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;131;348;9;23;61;23;46;162;0
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;132;356;3;17;73;11;66;170;4
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;133;363;5;16;66;20;39;146;0
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;134A;219;6;35;58;24;48;171;5
570;Joliette;2022-10-03;G;Saint-Paul, m;1;Regr. BVDS-1;134B;209;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;135;352;5;19;48;20;42;134;2
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;136;377;4;20;65;14;44;147;1
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;137;402;3;21;79;28;62;193;1
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;138;337;2;19;58;13;33;125;1
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;139;361;3;14;65;19;46;147;1
570;Joliette;2022-10-03;G;Saint-Paul, m;1;;140;338;5;26;52;16;32;131;2
570;Joliette;2022-10-03;G;Crabtree, m;1;;141;385;4;36;52;30;42;164;4
570;Joliette;2022-10-03;G;Crabtree, m;1;;142;394;9;23;59;18;71;180;2
570;Joliette;2022-10-03;G;Crabtree, m;1;;143A;194;0;25;44;23;49;141;4
570;Joliette;2022-10-03;G;Crabtree, m;1;Regr. BVDS-1;143B;228;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Crabtree, m;1;;144;398;3;39;46;33;56;177;6
570;Joliette;2022-10-03;G;Crabtree, m;1;;145;380;5;18;64;23;64;174;6
570;Joliette;2022-10-03;G;Crabtree, m;1;;146;408;3;29;55;28;40;155;6
570;Joliette;2022-10-03;G;Crabtree, m;1;;147;406;7;40;67;21;69;204;4
570;Joliette;2022-10-03;G;Crabtree, m;1;;148;388;4;38;51;26;46;165;5
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;Regr. BVO-31;500;62;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;1;Regr. BVO-50;501;159;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;Regr. BVO-71;502;156;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;Regr. BVO-71;503;175;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;Regr. BVO-71;504;111;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;Regr. BVO-71;505;253;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;Regr. BVO-71;506;148;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;4;Regr. BVO-72;507;142;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;5;Regr. BVO-72;508;153;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;5;Regr. BVO-72;509;70;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;5;Regr. BVO-72;510;78;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;5;Regr. BVO-73;511;116;0;0;0;0;0;0;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;5;Regr. BVO-73;512;90;0;0;0;0;0;0;0
