Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bellemare Louis P.L.Q./Q.L.P.;Dionne Amélie C.A.Q.-E.F.L.;Lapointe-Gagnon Myriam Q.S.;Moreault Louise P.C.Q-E.E.D.;Rioux Félix P.Q.;Sierpien Carole C.Q.;B.V.;B.R.
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Arsène, p;1;;59;310;5;100;37;18;17;0;177;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Arsène, p;1;;60;295;9;93;26;21;29;0;178;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Arsène, p;1;;61;297;7;80;14;17;36;0;154;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Cacouna, m;1;;62;383;7;76;48;16;34;1;182;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Cacouna, m;1;;63;385;0;57;44;28;32;2;163;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Cacouna, m;1;;64;370;2;62;55;16;30;1;166;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Cacouna, m;1;;65;371;3;83;43;22;18;1;170;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Notre-Dame-des-Sept-Douleurs, p;1;;66;51;1;10;10;1;15;1;38;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;L'Isle-Verte, m;1;;67;366;5;73;30;44;47;1;200;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;L'Isle-Verte, m;1;;68;342;6;97;29;20;41;1;194;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;L'Isle-Verte, m;1;;69;352;5;93;35;28;43;3;207;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Paul-de-la-Croix, m;1;;70;267;8;75;21;19;54;0;177;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Clément, m;1;;71;389;3;103;38;28;86;3;261;4
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Sainte-Rita, m;1;;72;256;15;45;18;27;25;2;132;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Jean-de-Dieu, m;1;;73;309;2;54;10;11;62;2;141;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Jean-de-Dieu, m;1;;74;323;4;36;6;12;63;2;123;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Jean-de-Dieu, m;1;;75;337;4;50;10;15;71;0;150;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Jean-de-Dieu, m;1;;76;320;3;53;8;24;49;1;138;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Éloi, p;1;;77;256;3;76;14;23;47;1;164;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Sainte-Françoise, p;1;;78;329;2;92;34;24;37;0;189;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Notre-Dame-des-Neiges, m;1;;79;332;3;55;40;1;43;1;143;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Notre-Dame-des-Neiges, m;1;;80;335;6;64;17;15;36;3;141;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Notre-Dame-des-Neiges, m;1;;81;341;5;57;34;9;27;2;134;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Trois-Pistoles, v;1;;82;326;3;49;28;6;30;0;116;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Trois-Pistoles, v;1;;83;313;5;50;27;7;28;1;118;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Trois-Pistoles, v;1;;84;326;3;51;12;13;29;0;108;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Trois-Pistoles, v;1;;85;317;1;57;13;12;40;1;124;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Trois-Pistoles, v;2;;86;315;7;48;17;10;23;0;105;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Trois-Pistoles, v;2;;87;319;6;72;23;7;14;0;122;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Trois-Pistoles, v;2;;88;304;6;58;14;13;33;1;125;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Trois-Pistoles, v;2;;89;312;9;38;23;11;27;0;108;2
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Simon-de-Rimouski, m;1;;90;386;19;93;28;15;58;3;216;5
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Mathieu-de-Rioux, m;1;;91;271;9;60;30;13;40;1;153;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Mathieu-de-Rioux, m;1;;92;295;5;78;34;7;37;1;162;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Médard, m;1;;93;188;2;66;10;9;34;0;121;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Saint-Guy, m;1;;94;60;0;20;3;4;4;0;31;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Lac-des-Aigles, m;1;;95;217;4;58;22;14;31;0;129;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Lac-des-Aigles, m;1;;96;203;4;45;20;20;28;1;118;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Biencourt, m;1;;97;369;9;133;15;18;41;3;219;6
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Lejeune, m;1;;98;220;6;65;16;22;17;0;126;7
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Auclair, m;1;;99;355;7;103;20;21;41;3;195;3
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Dégelis, v;1;;100;399;5;107;15;37;23;0;187;0
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Dégelis, v;1;;101;391;12;94;17;25;23;2;173;1
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Dégelis, v;1;;102;389;7;71;17;31;27;0;153;4
834;Rivière-du-Loup-Témiscouata;2022-10-03;G;Dégelis, v;1;;103;394;15;75;20;14;19;1;144;1
