Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arantes Luciana P.L.Q./Q.L.P.;Beauchesne Mario P.Q.;Fortin Pascale Q.S.;Henoud Tarek P.C.Q-E.E.D.;Lefebvre Eric C.A.Q.-E.F.L.;Martel Trystan C.Q.;B.V.;B.R.
144;Arthabaska;2022-10-03;G;Laurierville, m;1;;133;333;3;13;7;87;77;0;187;0
144;Arthabaska;2022-10-03;G;Laurierville, m;1;;134;376;6;17;17;64;87;0;191;8
144;Arthabaska;2022-10-03;G;Laurierville, m;1;;135;360;5;8;9;84;80;1;187;4
144;Arthabaska;2022-10-03;G;Lyster, m;1;;136;417;8;29;20;69;100;0;226;5
144;Arthabaska;2022-10-03;G;Lyster, m;1;;137A;213;10;6;11;50;48;0;125;1
144;Arthabaska;2022-10-03;G;Lyster, m;1;;137B;220;3;3;15;45;62;2;130;2
144;Arthabaska;2022-10-03;G;Lyster, m;1;;138;402;10;21;7;104;110;2;254;3
144;Arthabaska;2022-10-03;G;Inverness, m;1;;139;370;11;31;22;89;63;5;221;3
144;Arthabaska;2022-10-03;G;Inverness, m;1;;140;368;9;27;19;86;81;2;224;3
144;Arthabaska;2022-10-03;G;Saint-Pierre-Baptiste, p;1;;141A;232;1;17;11;51;52;1;133;1
144;Arthabaska;2022-10-03;G;Saint-Pierre-Baptiste, p;1;;141B;220;1;20;2;42;65;0;130;1
144;Arthabaska;2022-10-03;G;Sainte-Sophie-d'Halifax, m;1;;142;235;4;17;7;48;79;4;159;7
144;Arthabaska;2022-10-03;G;Sainte-Sophie-d'Halifax, m;1;;143;235;1;26;8;40;73;1;149;0
144;Arthabaska;2022-10-03;G;Saint-Ferdinand, m;1;;144;323;3;15;6;34;82;1;141;1
144;Arthabaska;2022-10-03;G;Saint-Ferdinand, m;1;;145;349;5;10;7;37;84;0;143;1
144;Arthabaska;2022-10-03;G;Saint-Ferdinand, m;1;;146;346;4;19;10;23;63;0;119;1
144;Arthabaska;2022-10-03;G;Saint-Ferdinand, m;1;;147;344;3;18;16;46;62;0;145;1
144;Arthabaska;2022-10-03;G;Saint-Ferdinand, m;1;;148;335;5;16;9;56;48;0;134;3
144;Arthabaska;2022-10-03;G;Saint-Norbert-d'Arthabaska, m;1;;149;319;8;16;23;75;81;1;204;5
144;Arthabaska;2022-10-03;G;Saint-Norbert-d'Arthabaska, m;1;;150;322;7;18;17;90;80;0;212;2
144;Arthabaska;2022-10-03;G;Saint-Norbert-d'Arthabaska, m;1;;151;313;5;15;11;59;78;1;169;0
144;Arthabaska;2022-10-03;G;Saint-Christophe-d'Arthabaska, p;1;;152;336;4;20;12;43;59;1;139;3
144;Arthabaska;2022-10-03;G;Saint-Christophe-d'Arthabaska, p;1;;153;336;4;19;19;51;94;0;187;3
144;Arthabaska;2022-10-03;G;Saint-Christophe-d'Arthabaska, p;1;;154;338;7;15;13;53;79;1;168;3
144;Arthabaska;2022-10-03;G;Saint-Christophe-d'Arthabaska, p;1;;155;369;7;12;13;62;66;1;161;1
144;Arthabaska;2022-10-03;G;Saint-Christophe-d'Arthabaska, p;1;;156;320;6;18;15;37;70;1;147;0
